Ward,Average Household Income,Median Price,Listings_Count,Median_WalkScore,Price to Income Ratio,Risk_Band,Ward_Label
1,137800,499900,44,14.5,3.627721335,Lower Stress (<4x),Ward 1
2,133400,549900,31,41,4.122188906,Moderate (4–6x),Ward 2
3,144200,499900,36,25,3.466712899,Lower Stress (<4x),Ward 3
4,150200,634900,24,27.5,4.227030626,Moderate (4–6x),Ward 4
5,166400,382350,50,1,2.297776442,Lower Stress (<4x),Ward 5
6,154200,699500,28,14.5,4.536316472,Moderate (4–6x),Ward 6
7,102900,750000,56,55,7.288629738,High (6–8x),Ward 7
8,115700,592450,30,39,5.120570441,Moderate (4–6x),Ward 8
9,116100,514950,28,31.5,4.435400517,Moderate (4–6x),Ward 9
10,106400,499900,50,33.5,4.698308271,Moderate (4–6x),Ward 10
11,113700,669000,36,35,5.883905013,Moderate (4–6x),Ward 11
12,81500,479000,137,86.5,5.877300613,Moderate (4–6x),Ward 12
13,113600,899000,62,58,7.913732394,High (6–8x),Ward 13
14,99400,472450,126,93,4.753018109,Moderate (4–6x),Ward 14
15,147600,879900,101,75,5.961382114,Moderate (4–6x),Ward 15
16,108100,599900,71,41,5.549491212,Moderate (4–6x),Ward 16
17,141400,889450,66,67,6.290311174,High (6–8x),Ward 17
18,112200,699900,37,32,6.237967914,High (6–8x),Ward 18
19,146200,599900,32,10,4.103283174,Moderate (4–6x),Ward 19
20,159400,774900,53,1,4.861355082,Moderate (4–6x),Ward 20
21,160800,999900,33,1,6.218283582,High (6–8x),Ward 21
22,157600,629450,24,11,3.993972081,Lower Stress (<4x),Ward 22
23,136200,499949.5,28,40,3.670701175,Lower Stress (<4x),Ward 23
24,138600,599900,35,36,4.328282828,Moderate (4–6x),Ward 24
