Ward,Median_Price,Listings_Count,Median_WalkScore
1,499900.0,44,14.5
2,549900.0,31,41.0
3,499900.0,36,25.0
4,634900.0,24,27.5
5,382350.0,50,1.0
6,699500.0,28,14.5
7,750000.0,56,55.0
8,592450.0,30,39.0
9,514950.0,28,31.5
10,499900.0,50,33.5
11,669000.0,36,35.0
12,479000.0,137,86.5
13,899000.0,62,58.0
14,472450.0,126,93.0
15,879900.0,101,75.0
16,599900.0,71,41.0
17,889450.0,66,67.0
18,699900.0,37,32.0
19,599900.0,32,10.0
20,774900.0,53,1.0
21,999900.0,33,1.0
22,629450.0,24,11.0
23,499949.5,28,40.0
24,599900.0,35,36.0
